"","track_name.x","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","popularity"
"1","Pray You Catch Me","00v5O7qsglyTtp2q1M9DZr",0.249,0.218,8,-13.676,0,0.038,0.631,0.0668,0.464,0.0786,175.844,3,196000,34
"2","Amor Falso","00zzSEe82JTtz68XlARnh7",0.767,0.55,4,-11.498,1,0.0554,0.279,0,0.0548,0.9,153.963,4,177816,56
"10","Hollywood's Bleeding","01iuzK2ziYAVE2n9aSXbWp",0.404,0.645,4,-3.221,0,0.0479,0.331,0,0.104,0.158,130.215,4,156253,19
"11","50 Vezes - Ao Vivo","01wavOnjFBNgdMWBFYIAP4",0.557,0.657,7,-6.428,1,0.0277,0.822,1.54e-06,0.952,0.574,147.872,4,184107,71
"226","Conselho - Ao Vivo","03Ih0yoTF85crrHUtLUoHF",0.824,0.826,6,-5.244,0,0.0596,0.16,0,0.75,0.767,126.954,4,142413,53
"283","Treat People With Kindness","03mMSLEJCPoGJwQhHpN5y0",0.653,0.869,5,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017,4,197347,73
"284","Bye Bye - Ao Vivo","055TcJ0BdCrW7qE8Yq5KRM",0.738,0.798,0,-4.489,1,0.0572,0.12,0,0.92,0.439,115.916,4,166199,66
"522","Call You Mine","05CwHjIk71RXVU40boRMnR",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4,217653,32
"552","Coração Bandido","05KtnDxY4V7aMeHxwumTkY",0.917,0.489,0,-7.982,0,0.175,0.228,0,0.05,0.793,120.012,4,142154,43
"557","Saint-Tropez","05mDaV9Vb3wrzjF6OPZnhq",0.617,0.684,0,-3.618,1,0.0439,0.0545,0,0.104,0.295,132.113,4,150867,81
"576","A Vida Nunca Cansa","06oNiLeQ7AKuALj1Vt71Nj",0.413,0.114,9,-14.113,1,0.0392,0.916,1.55e-06,0.103,0.0841,110.632,4,285305,44
"581","Liar","073ILU1C3APNRGF66VhtyA",0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,4,207039,75
"582","Good as Hell (feat. Ariana Grande) - Remix","07Oz5StQ7GRoygNLaXs2pd",0.668,0.892,5,-3.001,0,0.0645,0.298,0,0.735,0.478,95.927,4,159011,85
"583","Ainda Sou Tão Seu - Ao Vivo","07PHNpknqZFw6N3GzNQWB8",0.725,0.678,2,-5.268,1,0.0298,0.188,0,0.425,0.604,126.916,4,162392,55
"663","FRIENDS","08bNPGLD8AhKpnnERrAc6G",0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,4,202621,81
"664","Barcelona","08GP0v6joOh66lbc2o1TZK",0.613,0.386,0,-7.605,0,0.0404,0.472,2.07e-06,0.494,0.511,89.963,4,204664,49
"666","Santo Forte (Ao Vivo) (feat. Luan Santana)","08qhlblL5nfKeBDTQrzi8E",0.545,0.717,1,-7.145,1,0.0455,0.686,0,0.979,0.754,143.862,4,196311,61
"697","Viva Voz - Ao Vivo","08Sd5vVcIH3uKeAiaJdoYj",0.741,0.848,0,-3.64,1,0.0282,0.0518,0,0.491,0.885,128.036,4,164407,69
"700","Já Que Me Ensinou a Beber","08UdofkasLRh9uQLBlesks",0.794,0.862,4,-6.158,0,0.0819,0.415,1.22e-05,0.0493,0.975,171.971,4,158433,9
"710","Outta My Head (with John Mayer)","09oZ9eXQ2fo6YDrPzJqAoP",0.729,0.545,0,-7.818,1,0.0316,0.0174,0.000274,0.369,0.514,103.012,4,177067,73
"714","Eu Não Iria - Ao Vivo","09Q3su74ehVmR87tA3msB9",0.823,0.836,0,-2.566,1,0.0629,0.279,0,0.776,0.682,120.021,4,197767,64
"896","Fuzuê","09YadcHsZw8nEmJhB7SDrw",0.66,0.675,11,-7.909,0,0.245,0.026,0,0.0656,0.585,191.92,4,240943,54
"908","Deixa Tudo Como Tá - Ao Vivo","0abrd2vT2W3JZBDNezUY7r",0.691,0.516,4,-9.437,1,0.156,0.397,0,0.711,0.56,142.848,4,217785,63
"987","Zé do caroço","0AKNWA4m7jhh4SdZxKMC0R",0.664,0.728,11,-6.085,0,0.0319,0.703,0.252,0.0957,0.268,124.937,4,192000,57
"998","Remember The Name (feat. Eminem & 50 Cent)","0AtP8EkGPn6SwxKDaUuXec",0.852,0.666,11,-6.923,0,0.184,0.135,0,0.798,0.726,91.046,4,207760,74
"999","Love À Queima Roupa - Ao Vivo","0aUGXSCmdJz9I9kdY9e9kk",0.761,0.848,4,-4.265,1,0.0371,0.524,0,0.794,0.92,121.788,4,149051,66
"1229","Devagarinho","0aZfIiaO3b2HTNxZ3sv1cg",0.797,0.78,1,-6.044,0,0.0574,0.309,5.45e-05,0.189,0.823,102.057,4,137045,60
"1298","Abandono de Incapaz - Ao Vivo","0BNGeZfk8vEB5uXM6z8MBy",0.594,0.721,0,-3.913,1,0.103,0.0855,0,0.685,0.848,145.264,4,159499,66
"1386","Bye Bye - Ao Vivo","0bQWrpOuFcxQlBMiZkfkB2",0.738,0.798,0,-4.489,1,0.0572,0.12,0,0.92,0.439,115.916,4,166199,2
"1438","Chupadinha","0BVRi6cizWdDrLRmKI0qsw",0.723,0.844,0,-6.39,0,0.0402,0.646,0,0.0744,0.967,172.095,4,150047,67
"1439","Baila Mais","0BvvhRyleab8gLZLU7QrhZ",0.757,0.547,7,-5.509,0,0.0353,0.462,0,0.0789,0.527,101.023,4,386139,66
"1450","All I Want for Christmas Is You","0bYg9bo50gSsH3LtXe2SQn",0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,4,241107,72
"1453","Lover","0bzbvANY6oETSJLc0wlVGY",0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,221307,26
"1460","Desconstrução","0BzRlHCiks2DGlfsEKy54f",0.653,0.238,3,-14.374,0,0.0549,0.105,0.000501,0.111,0.236,122.705,4,283787,57
"1500","Se Prepara 2","0CgMeXQiNYJxPVQ2EMJxdL",0.648,0.453,8,-8.969,0,0.522,0.106,3.78e-06,0.106,0.359,130.199,4,147336,74
"1575","Doin' Time","0cLS7FslBJgsuWwJNRnPWB",0.621,0.692,7,-5.837,0,0.0435,0.336,0.000458,0.0877,0.446,144.968,4,201997,20
"1578","Dona Maria","0dGqIEsFN3KakdPCMkgjre",0.746,0.447,11,-7.485,1,0.118,0.846,0,0.201,0.924,139.994,4,187999,61
"1582","Only Human","0DiDStADDVh3SvAsoJAFMk",0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,4,183000,84
"1586","Chega de Saudade","0dWOiVQwoUYTtXD0VVgmJQ",0.563,0.242,4,-16.004,0,0.0327,0.743,0,0.166,0.647,87.771,4,121987,44
"1588","Saudade Da Gente","0dZVjzzrF5CBxyyqVpFxYo",0.416,0.478,0,-7.122,0,0.0396,0.201,0,0.148,0.543,173.362,3,200018,40
"1589","Sem Sal - Ao Vivo","0E5S49GCejjIo9Bjmo5Q4z",0.559,0.844,0,-3.685,1,0.124,0.112,0,0.935,0.823,139.385,4,162751,3
"1641","rockstar (feat. 21 Savage)","0e7ipj03S05BNilyu5bRzt",0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,4,218147,87
"1864","In My Mind","0E9ZjEAyAwOXZ7wJC0PD33",0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,4,184560,82
"2083","Jamais Vu","0eeeyCAGnGZInPtpkdYiPa",0.608,0.47,8,-6.73,1,0.0428,0.226,0,0.0963,0.241,81,4,227275,69
"2086","Enquanto Me Beija","0EsftWIxQKCoCz5HZtlpkW",0.66,0.586,11,-5.911,1,0.0336,0.748,0,0.108,0.486,134.849,4,219635,59
"2098","Deixa Eu Te Chamar de Meu Amor","0EyxB6uQOUC4ex2tbJuu6m",0.719,0.781,10,-5.131,1,0.0535,0.1,0,0.197,0.713,156.012,4,157308,56
"2337","Sem Sal - Ao Vivo","0EZuXcsnjEmGuRYdFdcctX",0.559,0.844,0,-3.685,1,0.124,0.112,0,0.935,0.823,139.385,4,162751,69
"2650","Old Town Road","0F7FA14euOIX8KcbEturGH",0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,4,113000,82
"2730","Quase Amor","0Fb8EGunEFldoQBZWJX2mk",0.795,0.786,1,-3.58,1,0.0287,0.18,0,0.11,0.8,123.921,4,161029,0
"2742","Não Planeje Nada","0FOe9rYciemlYvjQNpUHRL",0.66,0.778,8,-4.314,1,0.0574,0.348,0,0.723,0.48,147.096,4,177807,60
